Scenario,Year,Synchrony,mean,lo,hi
Cool (MOCI -1),2030,Asynchronous (current),4400.246908826247,3533.392255718744,5443.240644583364
Cool (MOCI -1),2031,Asynchronous (current),4405.3234240788115,3500.010802889259,5489.145335633326
Cool (MOCI -1),2032,Asynchronous (current),4406.774430444641,3447.873091851283,5550.622126780264
Cool (MOCI -1),2033,Asynchronous (current),4409.661013109024,3366.0110111842678,5662.441239187517
Cool (MOCI -1),2034,Asynchronous (current),4418.120156315497,3330.1729118059466,5728.690079694549
Cool (MOCI -1),2035,Asynchronous (current),4423.971810243593,3239.0505397225334,5877.706169637397
Cool (MOCI -1),2026,Synchronous (hypothetical),4392.5739987406,3728.148216056,5206.1283244925
Cool (MOCI -1),2027,Synchronous (hypothetical),4398.225085068087,3661.3525178054006,5282.331939461255
Cool (MOCI -1),2028,Synchronous (hypothetical),4396.641609057823,3635.6672522641734,5297.768111176036
Cool (MOCI -1),2029,Synchronous (hypothetical),4385.195089388427,3542.959740531999,5338.045544387021
Cool (MOCI -1),2030,Synchronous (hypothetical),4403.405024054224,3544.3868604829204,5382.924388089244
Cool (MOCI -1),2031,Synchronous (hypothetical),4405.957547755297,3484.796825640219,5495.81999349143
Cool (MOCI -1),2032,Synchronous (hypothetical),4405.936712955409,3392.726495671857,5542.490125653128
Cool (MOCI -1),2033,Synchronous (hypothetical),4411.625861686841,3358.926596032976,5608.098351638029
Cool (MOCI -1),2034,Synchronous (hypothetical),4423.753927048562,3281.21718508348,5664.43951776112
Cool (MOCI -1),2035,Synchronous (hypothetical),4426.015810023533,3223.6287731898215,5796.829934773779
Warm (MOCI +1),2026,Asynchronous (current),4392.5739987406,3728.148216056,5206.1283244925
Warm (MOCI +1),2027,Asynchronous (current),3984.537963663097,3355.3610830490647,4750.226663127858
Warm (MOCI +1),2028,Asynchronous (current),3779.9405090588075,3148.1924299204684,4529.051510494416
Warm (MOCI +1),2029,Asynchronous (current),3592.9217746883032,2977.5390829212683,4366.677130220227
Warm (MOCI +1),2030,Asynchronous (current),3418.690403303996,2814.239903433285,4156.505933171991
Warm (MOCI +1),2031,Asynchronous (current),3250.106962393878,2651.2564375989728,3965.924594733282
Warm (MOCI +1),2032,Asynchronous (current),3096.145659977029,2515.0002638003857,3816.816999368642
Warm (MOCI +1),2033,Asynchronous (current),2950.013009147362,2363.6579388989085,3686.8557100774683
Warm (MOCI +1),2034,Asynchronous (current),2812.3626229796932,2228.1429450005458,3555.817222269194
Warm (MOCI +1),2035,Asynchronous (current),2684.9360364136187,2099.840728181909,3432.4822959039698
Warm (MOCI +1),2026,Synchronous (hypothetical),4392.5739987406,3728.148216056,5206.1283244925
Warm (MOCI +1),2027,Synchronous (hypothetical),3987.147194284889,3319.6017724997,4743.598622007428
Warm (MOCI +1),2028,Synchronous (hypothetical),3778.4861929557746,3158.062737341883,4557.685495755328
Warm (MOCI +1),2029,Synchronous (hypothetical),3599.4618609168483,3005.4756166376073,4365.867367872336
Warm (MOCI +1),2030,Synchronous (hypothetical),3422.505703704637,2806.157882487637,4128.445819551651
Warm (MOCI +1),2031,Synchronous (hypothetical),3248.7594086431222,2660.6338620549895,3987.064457767667
Warm (MOCI +1),2032,Synchronous (hypothetical),3101.3767308562883,2501.9953333524977,3831.211259314085
Warm (MOCI +1),2033,Synchronous (hypothetical),2952.676938101054,2360.557825707092,3701.5456807155542
Warm (MOCI +1),2034,Synchronous (hypothetical),2818.7738584111685,2215.553298985369,3605.0637777947118
Warm (MOCI +1),2035,Synchronous (hypothetical),2683.6448872289106,2052.7610184215555,3483.94099021687
Warm + High Coyote,2026,Asynchronous (current),4392.5739987406,3728.148216056,5206.1283244925
Warm + High Coyote,2027,Asynchronous (current),3962.634361528744,3334.926501669034,4729.985787800995
Warm + High Coyote,2028,Asynchronous (current),3750.5107046854823,3131.8689582583384,4503.404651227755
Warm + High Coyote,2029,Asynchronous (current),3560.0141346654013,2958.9822909256245,4319.490790295235
Warm + High Coyote,2030,Asynchronous (current),3378.4568293577204,2787.0776542246376,4123.243378241486
Warm + High Coyote,2031,Asynchronous (current),3209.7044885782652,2630.1997372895835,3909.4858029340394
Warm + High Coyote,2032,Asynchronous (current),3053.01263511878,2492.7753508792675,3758.369010473505
Warm + High Coyote,2033,Asynchronous (current),2900.189175655937,2314.5627836159697,3594.5473439243133
Warm + High Coyote,2034,Asynchronous (current),2758.0859609309655,2176.4686056035507,3483.3865724671864
Warm + High Coyote,2035,Asynchronous (current),2626.0872763171333,2049.019870309173,3335.678459643672
Warm + High Coyote,2026,Synchronous (hypothetical),4392.5739987406,3728.148216056,5206.1283244925
Warm + High Coyote,2027,Synchronous (hypothetical),3975.6512148026427,3306.693859382665,4715.868212970752
Warm + High Coyote,2028,Synchronous (hypothetical),3753.9131164859746,3137.186745154265,4543.995753004925
Warm + High Coyote,2029,Synchronous (hypothetical),3563.0938023973395,2937.4452577989277,4328.466480039936
Warm + High Coyote,2030,Synchronous (hypothetical),3377.662468457894,2773.754602503188,4104.592966775161
Warm + High Coyote,2031,Synchronous (hypothetical),3203.060259935071,2602.4815102382163,3967.669118710755
Warm + High Coyote,2032,Synchronous (hypothetical),3052.1564101715376,2460.1763720865297,3779.7201479033447
Warm + High Coyote,2033,Synchronous (hypothetical),2896.3380677995638,2335.1751007990424,3608.3913983540237
Warm + High Coyote,2034,Synchronous (hypothetical),2759.8630971148323,2184.035652520974,3456.6021463143106
Warm + High Coyote,2035,Synchronous (hypothetical),2616.787728649629,2024.918491119869,3362.6233692488786
