Site,Year,site_idx,year_idx,coyote_effect,disturbance_effect,moci_effect,total_effect
DE,2016,2,20,0.09189922057647469,0.11880037757152963,-0.28295208147066236,-0.07225248332265805
DP,2016,3,20,0.04633219870284811,-0.03298697175215507,-0.28295208147066236,-0.26960685451996935
PRH,2016,4,20,0,0.018984161843305966,-0.28295208147066236,-0.2639679196273564
TB,2016,5,20,0,-0.3069023184441033,-0.28295208147066236,-0.5898543999147656
TP,2016,6,20,0,0.16272016335632314,-0.28295208147066236,-0.12023191811433923
BL,2017,1,21,-0.0191372091211298,0.18996610555684632,-0.1831911692807117,-0.012362272844995165
DE,2017,2,21,-0.07303119348362136,0.23143530764887205,-0.1831911692807117,-0.024787055115461004
DP,2017,3,21,-0.17105235595234108,0.09923337590289917,-0.1831911692807117,-0.2550101493301536
PRH,2017,4,21,0,0.018984161843305966,-0.1831911692807117,-0.16420700743740574
TB,2017,5,21,0,-0.29111163343276447,-0.1831911692807117,-0.47430280271347613
TP,2017,6,21,0,0.02226859556912738,-0.1831911692807117,-0.1609225737115843
BL,2018,1,22,0.027300170923033544,0.14782386812597953,0.03568302490173368,0.21080706395074678
DE,2018,2,22,0.039809639140337985,0.14636836745059945,0.03568302490173368,0.2218610314926711
DP,2018,3,22,-0.046832610435090113,0.09923337590289917,0.03568302490173368,0.08808379036954274
PRH,2018,4,22,0,0.018984161843305966,0.03568302490173368,0.05466718674503965
TB,2018,5,22,0,-0.248669353231556,0.03568302490173368,-0.21298632832982234
TP,2018,6,22,0,0.16272016335632314,0.03568302490173368,0.1984031882580568
BL,2019,1,23,-0.18166803927570155,0.15709516036077023,-0.15276340628045723,-0.17733628519538855
DE,2019,2,23,-0.19979215420945037,0.2855267859271215,-0.15276340628045723,-0.06702877456278611
DP,2019,3,23,-0.36773361968798846,0.09923337590289917,-0.15276340628045723,-0.42126365006554656
PRH,2019,4,23,0,0.018984161843305966,-0.15276340628045723,-0.13377924443715128
TB,2019,5,23,0,-0.2671097922155294,-0.15276340628045723,-0.4198731984959866
TP,2019,6,23,0,0.10085459183101073,-0.15276340628045723,-0.051908814449446505
BL,2020,1,24,-0.06093085116087683,-0.08395843774378779,-0.09569340340186383,-0.24058269230652846
DE,2020,2,24,-0.7168602221421414,0.36966908547106503,-0.09569340340186383,-0.4428845400729402
DP,2020,3,24,-0.2642171650902793,0.09923337590289917,-0.09569340340186383,-0.260677192589244
PRH,2020,4,24,0,0.018984161843305966,-0.09569340340186383,-0.07670924155855786
TB,2020,5,24,0,0.06891598482576247,-0.09569340340186383,-0.02677741857610136
TP,2020,6,24,0,0.16272016335632314,-0.09569340340186383,0.06702675995445931
BL,2021,1,25,-0.37786596996229166,0.18722686012384,0.24977351308039716,0.059134403241945493
DE,2021,2,25,-1.5272369411547506,0.36966908547106503,0.24977351308039716,-0.9077943426032883
DP,2021,3,25,-0.5402610440175036,0.09923337590289917,0.24977351308039716,-0.1912541550342073
PRH,2021,4,25,0,0.018984161843305966,0.24977351308039716,0.2687576749237031
TB,2021,5,25,0,0.1889251909119381,0.24977351308039716,0.43869870399233524
TP,2021,6,25,0,0.16272016335632314,0.24977351308039716,0.4124936764367203
BL,2022,1,26,-0.3649298426642747,0.009019378667970292,-0.010171713415330956,-0.36608217741163535
DE,2022,2,26,-1.3787422494320114,0.21688438366758858,-0.010171713415330956,-1.1720295791797537
DP,2022,3,26,-0.39162203228745984,0.09923337590289917,-0.010171713415330956,-0.30256036979989165
PRH,2022,4,26,0,0.018984161843305966,-0.010171713415330956,0.00881244842797501
TB,2022,5,26,0,0.014129173351638847,-0.010171713415330956,0.003957459936307891
TP,2022,6,26,0,0.16272016335632314,-0.010171713415330956,0.15254844994099218
BL,2023,1,27,-0.42427716351394884,-0.045897343306226,0.10031882753713109,-0.36985567928304375
DE,2023,2,27,-0.6683004374174357,0.2855267859271215,0.10031882753713109,-0.2824548239531831
DP,2023,3,27,-0.21776747392464055,-0.010950247142979354,0.10031882753713109,-0.1283988935304888
PRH,2023,4,27,0,0.018984161843305966,0.10031882753713109,0.11930298938043706
TB,2023,5,27,0,0.32093531760673133,0.10031882753713109,0.4212541451438624
TP,2023,6,27,0,0.005244163110073352,0.10031882753713109,0.10556299064720444
BL,2024,1,28,-0.12629233645612026,-0.1410500794001305,-0.39863200162690077,-0.6659744174831514
DE,2024,2,28,-0.22301745778840532,0.29523551279757654,-0.39863200162690077,-0.32641394661772954
DP,2024,3,28,-0.32095214501402375,-0.05631997427951757,-0.39863200162690077,-0.775904120920442
PRH,2024,4,28,0,0.018984161843305966,-0.39863200162690077,-0.3796478397835948
TB,2024,5,28,0,0.1865250067902146,-0.39863200162690077,-0.21210699483668616
TP,2024,6,28,0,0.16272016335632314,-0.39863200162690077,-0.23591183827057763
BL,2025,1,29,-0.19074602334448534,0.08822270375946792,-0.01259306993796943,-0.11511638952298686
DE,2025,2,29,-0.8323191103943831,0.17614179651999484,-0.01259306993796943,-0.6687703838123576
DP,2025,3,29,-0.21990898566019926,0.039133217877874514,-0.01259306993796943,-0.19336883772029417
PRH,2025,4,29,0,0.018984161843305966,-0.01259306993796943,0.006391091905336536
TB,2025,5,29,0,0.030731237434706623,-0.01259306993796943,0.018138167496737193
TP,2025,6,29,0,0.16272016335632314,-0.01259306993796943,0.1501270934183537
